cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	Concepticon_Gloss	Concepticon_ID	concept_url
the Salang-Sigule list	272	ibò	NA	jongere broeder	younger brother	adik laki-laki (kandung)	93	94	210	FALSE										YOUNGER BROTHER	1760	https://concepticon.clld.org/parameters/1760
the Salang-Sigule list	273	oepìh	NA	jongere zuster	younger sister	adik perempuan (kandung)	93	94	210	FALSE										YOUNGER SISTER	1761	https://concepticon.clld.org/parameters/1761
the Salang-Sigule list	274	mógoeh	NA	kleinkind	grandchild	cucu	94	95	211	FALSE										GRANDCHILD	1617	https://concepticon.clld.org/parameters/1617
the Salang-Sigule list	277	toeò	NA	oom <FBo>	uncle FBo	paman FBo	96	97	-	FALSE										PATERNAL UNCLE (FATHER'S OLDER BROTHER)	2173	https://concepticon.clld.org/parameters/2173
the Salang-Sigule list	278	bapa	NA	oom <FBy>	uncle FBy	paman FBy	96	97	-	FALSE										PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	2174	https://concepticon.clld.org/parameters/2174
the Salang-Sigule list	279	mama wòh	NA	oom <MBo>	uncle MBo	paman MBo	96	97	-	FALSE										MATERNAL UNCLE (MOTHER'S OLDER BROTHER)	3249	https://concepticon.clld.org/parameters/3249
the Salang-Sigule list	280	mama ênga	NA	oom <MBy>	uncle MBy	paman MBy	96	97	-	FALSE										MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)	3250	https://concepticon.clld.org/parameters/3250
the Salang-Sigule list	283	toeò	NA	tante <FZo>	aunt FZo	bibi FZo	97	98	-	FALSE										PATERNAL AUNT (FATHER'S OLDER SISTER)	3041	https://concepticon.clld.org/parameters/3041
the Salang-Sigule list	284	sau	NA	tante <FZy>	aunt FZy	bibi FZy	97	98	-	FALSE										PATERNAL AUNT (FATHER'S SISTER)	2691	https://concepticon.clld.org/parameters/2691
the Salang-Sigule list	285	mama wòh	NA	tante <MZo>	aunt MZo	bibi MZo	97	98	-	FALSE										MATERNAL AUNT (MOTHER'S OLDER SISTER)	3042	https://concepticon.clld.org/parameters/3042
the Salang-Sigule list	286	mama êngan	NA	tante <MZy>	aunt MZy	bibi MZy	97	98	-	FALSE										MATERNAL AUNT (MOTHER'S YOUNGER SISTER)	3043	https://concepticon.clld.org/parameters/3043
the Salang-Sigule list	287-290	alimê-ê	NA	neef <unsp.>	nephew BoS [ID_287]; nephew ByS [ID_288]; nephew ZoS [ID_289]; nephew ZyS [ID_290]	kemenakan (laki-laki) BoS [ID_287]; kemenakan (laki-laki) ByS [ID_288]; kemenakan laki-laki ZoS [ID_289]; kemenakan laki-laki ZyS [ID_290]	98	99	215	FALSE										NA	NA	NA
the Salang-Sigule list	291-294	alimê-ê	NA	nicht <unsp.>	niece BoD [ID_291]; niece ByD [ID_292]; niece ZoD [ID_293]; niece ZyD [ID_294]	kemenakan perempuan BoD [ID_291]; kemenakan perempuan ByD [ID_292]; kemenakan perempuan ZoD [ID_293]; kemenakan perempuan ZyD [ID_294]	99	100	215	FALSE										NA	NA	NA
the Salang-Sigule list	297	matoe-a goe abêleu	4	schoonouders	parents-in-law	mertua	-	100a	216	FALSE			matoe-a goe abeleû	father-in-law						PARENTS-IN-LAW	306	https://concepticon.clld.org/parameters/306
the Salang-Sigule list	297	matoe-a goe alélé	4	schoonouders	parents-in-law	mertua	-	100a	216	FALSE			matoe-a goe alélé	mother-in-law						PARENTS-IN-LAW	306	https://concepticon.clld.org/parameters/306
the Salang-Sigule list	299	oemeuneu	NA	schoonzoon	son-in-law	menantu laki-laki	100	101	-	FALSE										SON-IN-LAW	1056	https://concepticon.clld.org/parameters/1056
the Salang-Sigule list	300	oemeuneu	NA	schoondochter	daughter-in-law	menantu perempuan	101	102	-	FALSE										DAUGHTER-IN-LAW	1057	https://concepticon.clld.org/parameters/1057
the Salang-Sigule list	302/303	nònò tiri	NA	stiefzoon, stiefdochter <unsp.>	stepson [ID_302]; stepdaughter [ID_303]	anak tiri laki-laki [ID_302]; anak tiri perempuan [ID_303]	102	103	-	FALSE										NA	NA	NA
the Salang-Sigule list	304	êkoe	5	stiefouders	stepparents	ayah dan ibu tiri	103	104	-	FALSE			êkoe	father						NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	304	indeu	5	stiefouders	stepparents	ayah dan ibu tiri	103	104	-	FALSE			indeu	mother						NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	305	nònò tiri	NA	aangenomen kind	adopted child	anak pungut ; anak angkat	104	105	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	306-309	toemoedò	6	zwager <unsp.>	brother-in-law WB [ID_306]; brother-in-law HB [ID_307]; brother-in-law WZH [ID_308]; brother-in-law HZH [ID_309]	ipar laki-laki WB [ID_306]; ipar laki-laki HB [ID_307]; biras laki-laki WZH [ID_308]; biras laki-laki HZH [ID_309]	105	106	219	FALSE			toemoedò							NA	NA	NA
the Salang-Sigule list	306-309	Eu-ah	6	zwager <unsp.>	brother-in-law WB [ID_306]; brother-in-law HB [ID_307]; brother-in-law WZH [ID_308]; brother-in-law HZH [ID_309]	ipar laki-laki WB [ID_306]; ipar laki-laki HB [ID_307]; biras laki-laki WZH [ID_308]; biras laki-laki HZH [ID_309]	105	106	219	FALSE			Eu-ah							NA	NA	NA
the Salang-Sigule list	306-309	kakah	6	zwager <unsp.>	brother-in-law WB [ID_306]; brother-in-law HB [ID_307]; brother-in-law WZH [ID_308]; brother-in-law HZH [ID_309]	ipar laki-laki WB [ID_306]; ipar laki-laki HB [ID_307]; biras laki-laki WZH [ID_308]; biras laki-laki HZH [ID_309]	105	106	219	FALSE			kakah							NA	NA	NA
the Salang-Sigule list	306-309	adiq	6	zwager <unsp.>	brother-in-law WB [ID_306]; brother-in-law HB [ID_307]; brother-in-law WZH [ID_308]; brother-in-law HZH [ID_309]	ipar laki-laki WB [ID_306]; ipar laki-laki HB [ID_307]; biras laki-laki WZH [ID_308]; biras laki-laki HZH [ID_309]	105	106	219	FALSE			adiq							NA	NA	NA
the Salang-Sigule list	310	kakah	NA	schoonbroer	brother-in-law	ipar laki-laki	106	107	-	FALSE										BROTHER-IN-LAW	2314	https://concepticon.clld.org/parameters/2314
the Salang-Sigule list	310	adiq	NA	schoonbroer	brother-in-law	ipar laki-laki	106	107	-	FALSE										BROTHER-IN-LAW	2314	https://concepticon.clld.org/parameters/2314
the Salang-Sigule list	315	akrab	NA	verwant	related	keluarga	107	108	221	FALSE										FAMILY	194	https://concepticon.clld.org/parameters/194
the Salang-Sigule list	316	aba-at	NA	niet verwant	unrelated	bukan keluarga	108	109	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	317	doenga	NA	man (echtgenoot)	husband	suami	109	110	222	TRUE										HUSBAND	1200	https://concepticon.clld.org/parameters/1200
the Salang-Sigule list	318	doenga	NA	vrouw (echtgenote)	wife	istri	111	112	223	TRUE										WIFE	1199	https://concepticon.clld.org/parameters/1199
the Salang-Sigule list	320	achi	NA	metgezel, vriend	comrade, friend	sekutu, teman	-	577	-	FALSE										FRIEND	1325	https://concepticon.clld.org/parameters/1325
the Salang-Sigule list	324	ata joe lêntoe	NA	gast, vreemdeling	guest, stranger	tamu, orang asing	-	689	-	FALSE										GUEST OR STRANGER	2908	https://concepticon.clld.org/parameters/2908
the Salang-Sigule list	326	banoea	NA	land (staat)	country	negara	585	597	-	FALSE										COUNTRY	1300	https://concepticon.clld.org/parameters/1300
the Salang-Sigule list	327	kampong	NA	stad (of hoofdplaats)	town (capital)	kota (ibu kota)	587	599	-	FALSE										TOWN	1391	https://concepticon.clld.org/parameters/1391
the Salang-Sigule list	329	tênêboe	NA	bijdorp (gehucht)	hamlet	dukuh	589	600	228	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	330	bangso	NA	volk (volksstam)	people (tribe)	rakyat, bangsa (suku bangsa)	586	598	229	FALSE										TRIBE	1549	https://concepticon.clld.org/parameters/1549
the Salang-Sigule list	332	hadjimat	NA	talisman	talisman	jimat	202	205	-	FALSE										MAGIC	392	https://concepticon.clld.org/parameters/392
the Salang-Sigule list	335	oela hadjimat	NA	boek (met toverspreuken)	magic book	buku mantera	205	208	-	FALSE										MAGIC	392	https://concepticon.clld.org/parameters/392
the Salang-Sigule list	339	hantoe	NA	spook	ghost	setan	209	212	-	FALSE										GHOST	1175	https://concepticon.clld.org/parameters/1175
the Salang-Sigule list	340	dachia chida	NA	goede geest	spirit	ruh baik	212	215	-	FALSE										SPIRIT	53	https://concepticon.clld.org/parameters/53
the Salang-Sigule list	341	bichoe	NA	kwade geest	evil spirit	ruh jahat	207/213	210	-	FALSE										DEMON	1973	https://concepticon.clld.org/parameters/1973
the Salang-Sigule list	345	allah ta allah	NA	opperwezen	the supreme being	yang maha kuasa	215	218	-	FALSE										DEITY	3231	https://concepticon.clld.org/parameters/3231
the Salang-Sigule list	345	Nabi Mohamad	NA	opperwezen	the supreme being	yang maha kuasa	215	218	-	FALSE										DEITY	3231	https://concepticon.clld.org/parameters/3231
the Salang-Sigule list	351	panjoeratan	NA	schrift	writing	tulisan	218	220	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	352	hoeroeb	NA	letter	letter	huruf	219	221	-	FALSE										LETTER	1612	https://concepticon.clld.org/parameters/1612
the Salang-Sigule list	353	kêrêtas	NA	papier	paper	kertas	220	222	-	FALSE										PAPER	648	https://concepticon.clld.org/parameters/648
the Salang-Sigule list	354	oela	NA	brief	letter	surat	223	224	-	FALSE										LETTER	1612	https://concepticon.clld.org/parameters/1612
the Salang-Sigule list	356	Soeritò	NA	verhaal	story	cerita	224	225	236	FALSE										STORY	2060	https://concepticon.clld.org/parameters/2060
the Salang-Sigule list	358	nanga nanga	NA	gedicht (of rijmwerk)	poem	sanjak, syair	226	227	-	FALSE										POETRY	541	https://concepticon.clld.org/parameters/541
the Salang-Sigule list	359	nanga nanga	NA	zangwijs	tune, melody	nyanyian	227	228	-	FALSE										SONG	1096	https://concepticon.clld.org/parameters/1096
the Salang-Sigule list	365	euhí	NA	bevolking	population	penduduk	233	231	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	367	tjêdik	NA	deugd (goed zijn)	virtue	kebajikan	235	233	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	368	bieng-òng	NA	zonde (kwaad doen)	sin	dosa	236	234	237	FALSE										SIN	2971	https://concepticon.clld.org/parameters/2971
the Salang-Sigule list	369	Hharam	NA	verboden (onrein)	forbidden	pantangan, pemali	237	235	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	371	têngkoe	NA	priester	priest	pemimpin agama laki-laki	239	237	239	FALSE										PRIEST	852	https://concepticon.clld.org/parameters/852
the Salang-Sigule list	374	maǐgit	NA	tempel	temple	kuil	241	239	241	FALSE										TEMPLE	911	https://concepticon.clld.org/parameters/911
the Salang-Sigule list	375	aulia	NA	heilige plaats	holy place	tempat suci	242	240	-	FALSE										TEMPLE	911	https://concepticon.clld.org/parameters/911
the Salang-Sigule list	377	soerau	NA	raadhuis	town hall	balai kota	591	601	-	FALSE										MEETING HOUSE	335	https://concepticon.clld.org/parameters/335
the Salang-Sigule list	378	radjò	NA	koning	king	raja	593	603	-	FALSE										KING	1508	https://concepticon.clld.org/parameters/1508
the Salang-Sigule list	382	banoea bichoe	NA	plaats (die gevreesd wordt)	(sacred) place (held in awe)	tempat (menyeramkan)	243	241	-	FALSE										PLACE (POSITION)	723	https://concepticon.clld.org/parameters/723
the Salang-Sigule list	386	dato	NA	dorpshoofd	village head	kepala kampung	597	608	245	FALSE										CHIEFTAIN	301	https://concepticon.clld.org/parameters/301
the Salang-Sigule list	389	atoea toea	NA	oudsten	village elders	orang tua-tua	599	610	248	FALSE										OLD (AGED)	2112	https://concepticon.clld.org/parameters/2112
the Salang-Sigule list	391	goentoeng/labòh	NA	geluk	happiness	kebahagiaan	210	213	-	FALSE										HAPPINESS	2941	https://concepticon.clld.org/parameters/2941
the Salang-Sigule list	392	roegí	NA	ongeluk	unhappiness	kesedihan, kemalangan	211	214	-	FALSE										SADNESS	3854	https://concepticon.clld.org/parameters/3854
the Salang-Sigule list	396	adat	NA	gewoonterecht	common law	hukum adat	604	623	-	FALSE										LAW	1062	https://concepticon.clld.org/parameters/1062
the Salang-Sigule list	399	hoekoem	NA	straffen	to punish	menghukum	608	625	252	FALSE										PUNISH	3649	https://concepticon.clld.org/parameters/3649
the Salang-Sigule list	400	dandò	NA	boete	fine	denda	609	626	253	FALSE										FINE (PENALTY)	218	https://concepticon.clld.org/parameters/218
the Salang-Sigule list	401	sasi	NA	getuige	witness	saksi	610	627	-	FALSE										WITNESS	1144	https://concepticon.clld.org/parameters/1144
the Salang-Sigule list	404	kandoeri fadjirat	NA	lijkfeest	funeral ceremony	upacara kematian, pemakaman	245	243	255	FALSE										FUNERAL	3336	https://concepticon.clld.org/parameters/3336
the Salang-Sigule list	407/408	chawin	NA	huwen <unsp.> huwelijk	to marry, to take a wife, marriage [ID_407]; to marry, to take a husband, marriage [ID_408]	kawin/menikah, berbini, perkawinan [ID_407]; kawin/menikah, berlaki, perkawinan [ID_408]	246	244	258	FALSE										MARRIAGE OR WEDDING	3182	https://concepticon.clld.org/parameters/3182
the Salang-Sigule list	410	iboe-oe	NA	scheiden	to divorce	bercerai	247	245	260	FALSE										DIVORCE (SEPARATE)	3672	https://concepticon.clld.org/parameters/3672
the Salang-Sigule list	411	djanamoe	NA	bruidsschat	bride price	mas kawin	248	246	261	FALSE										BRIDE PRICE	3024	https://concepticon.clld.org/parameters/3024
the Salang-Sigule list	412	djandji	NA	trouwbelofte	betrothal	perjanjian	249	247	-	FALSE										AGREEMENT	3644	https://concepticon.clld.org/parameters/3644
the Salang-Sigule list	413	madoe ònò	NA	baren (bevallen)	to give birth to	melahirkan	250	248	262	FALSE										GIVE BIRTH	1195	https://concepticon.clld.org/parameters/1195
the Salang-Sigule list	414	bidan	NA	vroedvrouw	midwife	bidan	251	249	-	FALSE										MIDWIFE	3859	https://concepticon.clld.org/parameters/3859
the Salang-Sigule list	415	malèh malèh	NA	overspel bedrijven	to commit adultery	berzinah	252	250	263	FALSE										ADULTERY	902	https://concepticon.clld.org/parameters/902
the Salang-Sigule list	416	soelit	NA	lichtekooi	prostitute	pelacur	255	253	-	FALSE										PROSTITUTE	1610	https://concepticon.clld.org/parameters/1610
the Salang-Sigule list	419	bioelah	NA	viool (rebab)	violin	biola (rebab)	256	254	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	420	sangkadoe	NA	fluit	flute	suling	257	255	265	FALSE										FLUTE	777	https://concepticon.clld.org/parameters/777
the Salang-Sigule list	421	tamboer	NA	trom	drum	genderang	258	256	266	FALSE										DRUM	908	https://concepticon.clld.org/parameters/908
the Salang-Sigule list	422	gêndang	NA	tamboerijn	tambourine	tambur	259	257	-	FALSE										TAMBOURINE	3141	https://concepticon.clld.org/parameters/3141
the Salang-Sigule list	423	gambang	NA	gambang	xylophone	gambang	260	258	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	424	mangkoeng	NA	gong	gong	gong	261	259	-	FALSE										GONG	2502	https://concepticon.clld.org/parameters/2502
the Salang-Sigule list	424	sanang	NA	gong	gong	gong	261	259	-	FALSE										GONG	2502	https://concepticon.clld.org/parameters/2502
the Salang-Sigule list	428	manali	NA	dansen	to dance	menari	264	262	269	TRUE	dance									DANCE	1879	https://concepticon.clld.org/parameters/1879
the Salang-Sigule list	432	main main	NA	spelen	to play	bermain	-	263	273	TRUE	play									PLAY	1413	https://concepticon.clld.org/parameters/1413
the Salang-Sigule list	433	dadoe	7	tol	top	gasing	-	264	274	FALSE			gêsing	child						TOP	1753	https://concepticon.clld.org/parameters/1753
the Salang-Sigule list	433	gêsing	7	tol	top	gasing	-	264	274	FALSE			gêsing	child						TOP	1753	https://concepticon.clld.org/parameters/1753
the Salang-Sigule list	437	nòhí	NA	huis	house	rumah	265	265	278	FALSE										HOUSE	1252	https://concepticon.clld.org/parameters/1252
the Salang-Sigule list	438	jamboen	NA	hut (op het veld enz.)	hut, shelter	pondok	266	266	279	FALSE										HUT	1678	https://concepticon.clld.org/parameters/1678
the Salang-Sigule list	440	ètèn tioe	NA	nok van het dak	ridge of roof	bubungan	-	267	280	FALSE										RIDGEPOLE	280	https://concepticon.clld.org/parameters/280
the Salang-Sigule list	441	janò-ò	NA	dakbedekking atap:	roofing: thatch	atap	268	268	281	FALSE										THATCH	279	https://concepticon.clld.org/parameters/279
the Salang-Sigule list	442	djalin	NA	dakbedekking: gespleten bamboe	roofing: bamboo lath	atap: bilah, pelupuh bambu	268	268	-	FALSE										THATCH	279	https://concepticon.clld.org/parameters/279
the Salang-Sigule list	446	gaheu	NA	dakspar	rafter	kasau	-	270	282	FALSE										RAFTER	829	https://concepticon.clld.org/parameters/829
the Salang-Sigule list	449	bientoe	NA	deur	door	daun pintu	270	271	-	FALSE										DOOR	1567	https://concepticon.clld.org/parameters/1567
the Salang-Sigule list	451	tíngkap	NA	venster	window	jendela	271	272	-	FALSE										WINDOW	1375	https://concepticon.clld.org/parameters/1375
the Salang-Sigule list	452	goejoeng	NA	hoek	corner	sudut	-	273	286	FALSE										CORNER	192	https://concepticon.clld.org/parameters/192
the Salang-Sigule list	453	nòla	NA	trap	staircase, steps	tangga, anak tangga	272	274	287	FALSE		add. anak tangga								STAIRS	34	https://concepticon.clld.org/parameters/34
the Salang-Sigule list	454	nòla	NA	ladder	ladder	tangga	273	275	287	FALSE										LADDER	1464	https://concepticon.clld.org/parameters/1464
the Salang-Sigule list	456	aloe aloe lèfoe-eu	NA	vloer (van gespleten bamboe)	floor (made from bamboo lath)	lantai (dari bambu)	274	276	-	FALSE										FLOOR	1632	https://concepticon.clld.org/parameters/1632
the Salang-Sigule list	457	aloe aloe fafa	NA	vloer (van hout)	floor (made from wood)	lantai (dari kayu)	274	276	-	FALSE										FLOOR	1632	https://concepticon.clld.org/parameters/1632
the Salang-Sigule list	458	dinding fafa	NA	omwanding (planken)	wall (plank wall)	dinding (papan)	275	277	-	FALSE										WALL	3830	https://concepticon.clld.org/parameters/3830
the Salang-Sigule list	459	dinding lèfoe-eu	NA	omwanding (bamboe)	wall (bamboo wall)	dinding (bilik)	275	277	-	FALSE										WALL	3830	https://concepticon.clld.org/parameters/3830
the Salang-Sigule list	461	gai nòhi alawa	NA	hoofdstijlen	main posts	tiang rumah	276	278	292	FALSE										COLUMN	2045	https://concepticon.clld.org/parameters/2045
the Salang-Sigule list	462	deufa?	NA	zolderbalken	ceiling beams	langit-langit rumah, tutup jenang	277	279	293	FALSE										COLUMN	2045	https://concepticon.clld.org/parameters/2045
the Salang-Sigule list	464	koelamboe	NA	gordijn	curtain	tirai	281	282	-	FALSE										CURTAIN	2621	https://concepticon.clld.org/parameters/2621
the Salang-Sigule list	468	doefó	NA	ligmatje	sleeping mat	tikar	296	297	295	FALSE										MATTRESS	105	https://concepticon.clld.org/parameters/105
the Salang-Sigule list	469	bantan	NA	hoofdkussen	pillow	bantal	291	293	296	FALSE										PILLOW	1044	https://concepticon.clld.org/parameters/1044
the Salang-Sigule list	470	balei balei	NA	zit-en ligplaats	couch	bale-bale	283	284	297	FALSE										SOFA	3099	https://concepticon.clld.org/parameters/3099
the Salang-Sigule list	471	fai ìtìh	NA	pendopo	front verandah	pendopo	284	285	-	FALSE										PORCH	3269	https://concepticon.clld.org/parameters/3269
the Salang-Sigule list	472/473	ala	NA	zolder, zolderrek <unsp.>	attic (under the roof) [ID_472]; rack above the fireplace [ID_473]	loteng [ID_472]; para-para [ID_473]	285	286	-	FALSE										NA	NA	NA
the Salang-Sigule list	474	nafoe	NA	kookplaats	hearth, fireplace	dapur, tungku	286	287	300	FALSE										FIREPLACE	185	https://concepticon.clld.org/parameters/185
the Salang-Sigule list	475	naiteu	NA	vuur	fire	api	287	288	301	TRUE										FIRE	221	https://concepticon.clld.org/parameters/221
the Salang-Sigule list	476	nitoetoeng	NA	brand	fire	api, kebakaran	288	289	-	TRUE										FIRE	221	https://concepticon.clld.org/parameters/221
the Salang-Sigule list	477	mangè bà-eu naiteu	NA	vuur aanleggen	to make a fire	memasang api	287	288	302	FALSE										LIGHT (IGNITE)	737	https://concepticon.clld.org/parameters/737
the Salang-Sigule list	478	boenoeh naiteu	NA	vuur blussen	to extinguish (with water)	memadamkan api (dengan air)	287	288	-	FALSE										EXTINGUISH	127	https://concepticon.clld.org/parameters/127
the Salang-Sigule list	482	imboe	NA	rook	smoke	asap	-	290	306	TRUE										SMOKE (EXHAUST)	778	https://concepticon.clld.org/parameters/778
the Salang-Sigule list	483	gêlan	NA	as	ashes	abu	289	291	307	TRUE										ASH	646	https://concepticon.clld.org/parameters/646
the Salang-Sigule list	484	gaujeun/ga oejoen	NA	brandhout	fire wood	kayu api	290	292	308	FALSE										FIREWOOD	10	https://concepticon.clld.org/parameters/10
the Salang-Sigule list	485	toetoeng fandoe	NA	aansteken (licht)	to put on (light)	menyalakan (sinar)	293	295	-	FALSE										LIGHT (IGNITE)	737	https://concepticon.clld.org/parameters/737
the Salang-Sigule list	486	boenoeh fandoe	NA	uitdoen (licht)	to put off (light)	memadamkan (sinar)	294	296	-	FALSE										EXTINGUISH	127	https://concepticon.clld.org/parameters/127
the Salang-Sigule list	487	fa-aleung bateu	NA	ruimte onder het huis	space under the house	kolong rumah	278	280	309	FALSE										AREA UNDER HOUSE	2632	https://concepticon.clld.org/parameters/2632
the Salang-Sigule list	488	koelamboe	NA	bedgordijn	bed curtain	kelambu	297	298	-	FALSE										CURTAIN	2621	https://concepticon.clld.org/parameters/2621
the Salang-Sigule list	489	koedò koedò	NA	zitbankje	bench, seat	bangku untuk duduk	298	299	-	FALSE										BENCH	2584	https://concepticon.clld.org/parameters/2584
the Salang-Sigule list	493	kansah-balang	NA	pan (ijzeren)	pot (iron)	kuali (besi), panci (besi)	310	312	-	FALSE										POT	1462	https://concepticon.clld.org/parameters/1462
the Salang-Sigule list	494	balang taneu	NA	pan (aarden)	pot (earthenware)	panci, kuali (tanah liat)	311	313	-	FALSE										CLAY POT	2055	https://concepticon.clld.org/parameters/2055
the Salang-Sigule list	495	kanèt/ganèt	NA	rijstketel (koperen, dandang)	rice kettle (copper)	dandang	312	314	-	FALSE										RICE STEAMER	854	https://concepticon.clld.org/parameters/854
the Salang-Sigule list	496	ganèt taneu	NA	rijstketel (aarden, koendija)	rice kettle (earthenware)	kundia	312	314	-	FALSE										RICE STEAMER	854	https://concepticon.clld.org/parameters/854
the Salang-Sigule list	497	gambatoe	NA	bord	dish	piring	313	315	313	FALSE										PLATE	480	https://concepticon.clld.org/parameters/480
the Salang-Sigule list	498	boe-ai	NA	kopje	cup	cangkir	314	316	-	FALSE										CUP	476	https://concepticon.clld.org/parameters/476
the Salang-Sigule list	499	óloe	NA	drinknap	drinking bowl	tempat minum	315	317	314	FALSE										CUP	476	https://concepticon.clld.org/parameters/476
the Salang-Sigule list	501	gambatoe	NA	schotel (van aardewerk, grote)	saucer (earthenware)	pinggan	317	318	-	FALSE										SAUCER	271	https://concepticon.clld.org/parameters/271
the Salang-Sigule list	505	bíso	NA	mes	knife	pisau	299	300	317	FALSE										KNIFE	1352	https://concepticon.clld.org/parameters/1352
the Salang-Sigule list	506	bau	NA	hakmes	chopper	parang	300	301	318	FALSE										CLEAVER	3067	https://concepticon.clld.org/parameters/3067
the Salang-Sigule list	507	galé	NA	dolk (kris)	kris	keris	302	304	-	FALSE										SWORD	1535	https://concepticon.clld.org/parameters/1535
the Salang-Sigule list	508	bísó ítìtì	NA	dolk (badi-badi)	dagger	golok	303	305	-	FALSE										SMALL KNIFE	3233	https://concepticon.clld.org/parameters/3233
the Salang-Sigule list	509	patòh	NA	bijl	axe, hatchet	kapak	-	306	476	FALSE										AXE	677	https://concepticon.clld.org/parameters/677
the Salang-Sigule list	510	sèndoq	NA	lepel	spoon	sendok	318	319	319	FALSE										SPOON	1378	https://concepticon.clld.org/parameters/1378
the Salang-Sigule list	511	awê/awòh	NA	scheplepel, schepper	ladle	ciduk, sendok	319	320	320	FALSE										LADLE	2657	https://concepticon.clld.org/parameters/2657
the Salang-Sigule list	513	monda-oe idaneu	NA	water halen	to fetch water	mengambil air	-	583	322	FALSE										DRAW (WATER)	1911	https://concepticon.clld.org/parameters/1911
the Salang-Sigule list	514	katiding	NA	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE										BASKET	1539	https://concepticon.clld.org/parameters/1539
the Salang-Sigule list	515	fandoe	NA	lamp	lamp	lampu	321	322	324	FALSE										LAMP	625	https://concepticon.clld.org/parameters/625
the Salang-Sigule list	519	sêlappa	NA	doos	box, case	kotak, dos	327	328	-	FALSE										BOX OR CHEST	3150	https://concepticon.clld.org/parameters/3150
the Salang-Sigule list	520	bêti	NA	kist voor kleren	case for cloth	peti pakaian	324	325	-	FALSE										WARDROBE	3106	https://concepticon.clld.org/parameters/3106
the Salang-Sigule list	522	kasòh	NA	pot	pot, jar	periuk	325	326	-	FALSE										POT	1462	https://concepticon.clld.org/parameters/1462
the Salang-Sigule list	525-527	man auhoe	NA	koken <unsp.>	to cook in bamboo container [ID_525]; to cook (in pot) [ID_526]; to steam [ID_527]	melemang [ID_525]; merebus [ID_526]; mengukus [ID_527]	328	329	330	FALSE										COOK (SOMETHING)	1100	https://concepticon.clld.org/parameters/1100
the Salang-Sigule list	528	randang	NA	braden	to bake, to grill, to fry	membakar, panggang menggoreng (dengan minyak)	329	330	-	FALSE										BAKE	183	https://concepticon.clld.org/parameters/183
the Salang-Sigule list	530	toetoeng	NA	roosteren	to grill, to roast	panggang	331	332	332	FALSE										ROAST (SOMETHING)	1962	https://concepticon.clld.org/parameters/1962
the Salang-Sigule list	534	makanan	NA	spijs(eten)	food	makanan	332	333	336	FALSE										FOOD	256	https://concepticon.clld.org/parameters/256
the Salang-Sigule list	535	binaloe	NA	reisvoorraad, proviand	provisions	bekal	333	334	337	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	536	afeugeu	NA	toespijs	side-dish	lauk-pauk	334	335	-	FALSE										PREPARED FOOD	3542	https://concepticon.clld.org/parameters/3542
the Salang-Sigule list	537	goelè	NA	groente	vegetables	sayuran	344	346	338	FALSE										VEGETABLES	924	https://concepticon.clld.org/parameters/924
the Salang-Sigule list	539	bantai	NA	vlees (rauw)	meat (raw)	daging (mentah)	335	336	-	FALSE										FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Salang-Sigule list	540	bantai ala-i	NA	gedroogd vlees	dried meat	dendeng	335	336	340	FALSE										MEAT	634	https://concepticon.clld.org/parameters/634
the Salang-Sigule list	541	inalan	8	vis (in het algemeen of in tegenstelling van vlees)	fish	ikan	336/404	337	341	TRUE			inalan	dried fish						FISH	227	https://concepticon.clld.org/parameters/227
the Salang-Sigule list	541	inalan	8	vis (in het algemeen of in tegenstelling van vlees)	fish	ikan	336/404	337	341	TRUE			siata-a	dried fish						FISH	227	https://concepticon.clld.org/parameters/227
the Salang-Sigule list	544	fachi	NA	gepelde rauwe rijst	husked rice	beras	337	338	344	FALSE										RICE	926	https://concepticon.clld.org/parameters/926
the Salang-Sigule list	545	beula	NA	gekookte rijst	cooked rice	nasi	337	338	345	FALSE										COOKED RICE	1191	https://concepticon.clld.org/parameters/1191
